trade_id,timestamp,symbol,entry_price,exit_price,funding_rate,side,quantity,position_size_usd,commission,slippage,funding_payments,total_costs,gross_pnl,net_pnl,pnl_percent,holding_period_hours,max_drawdown_during_trade,volatility_during_trade,confidence_score,expected_value,risk_score
trade_1,2024-01-08 00:00:00,XRP,0.5026030023033753,0.5023517636118965,-0.0011750864280059806,long,49.741047875614946,25.0,0.005,0.01,0.029377160700149514,0.044377160700149514,-0.012496875781054123,-0.056874036481203635,-0.22749614592481454,8.0,0.0,0.0,0.2350172856011961,0.008626296420089708,0.11750864280059806
trade_2,2024-01-08 02:00:00,XRP,0.49815585983491933,0.4984050000498905,0.002031357774954043,short,50.18509670504446,25.0,0.005,0.01,0.05078394437385107,0.06578394437385107,-0.012503125781444663,-0.07828707015529573,-0.31314828062118294,8.0,0.0,0.0,0.4062715549908086,0.021470366624310643,0.2031357774954043
trade_3,2024-01-08 03:00:00,XRP,0.4999728394979708,0.4997229155592065,-0.0006280715672329281,long,50.002716197749514,25.0,0.005,0.01,0.0157017891808232,0.0307017891808232,-0.012496875781053709,-0.04319866496187691,-0.17279465984750764,8.0,0.0,0.0,0.1256143134465856,0.00042107350849392085,0.0628071567232928
trade_4,2024-01-08 11:00:00,XRP,0.4936358914451186,0.4938827711107576,0.0007503588261963565,short,50.644615663606885,25.0,0.005,0.01,0.01875897065490891,0.03375897065490891,-0.01250312578144802,-0.04626209643635693,-0.18504838574542773,8.0,0.0,0.0,0.1500717652392713,0.002255382392945347,0.07503588261963565
trade_5,2024-01-08 12:00:00,XRP,0.497883149388587,0.49763427003373145,-0.0010543550879041866,long,50.21258508286658,25.0,0.005,0.01,0.026358877197604665,0.041358877197604664,-0.012496875781054203,-0.05385575297865887,-0.21542301191463548,8.0,0.0,0.0,0.21087101758083732,0.0068153263185627986,0.10543550879041866
trade_6,2024-01-08 14:00:00,XRP,0.5005644558752985,0.5003142362022791,-0.0014431119370885673,long,49.94361806270169,25.0,0.005,0.01,0.03607779842721418,0.05107779842721418,-0.012496875781055712,-0.0635746742082699,-0.2542986968330796,8.0,0.0,0.0,0.28862238741771346,0.012646679056328509,0.14431119370885673
trade_7,2024-01-08 16:00:00,XRP,0.49656033101292457,0.4968086732639938,0.0006289476721106575,short,50.3463495543491,25.0,0.005,0.01,0.015723691802766438,0.030723691802766438,-0.012503125781445556,-0.04322681758421199,-0.17290727033684797,8.0,0.0,0.0,0.1257895344221315,0.0004342150816598632,0.06289476721106575
trade_8,2024-01-08 17:00:00,XRP,0.5049713368384665,0.5047189142756879,-0.0009428591192334758,long,49.507760492942914,25.0,0.005,0.01,0.023571477980836895,0.03857147798083689,-0.012496875781056582,-0.051068353761893476,-0.2042734150475739,8.0,0.0,0.0,0.18857182384669516,0.005142886788502137,0.09428591192334758
trade_9,2024-01-08 18:00:00,XRP,0.5092748071347317,0.5095295082135688,0.0006060168761932553,short,49.0894103728679,25.0,0.005,0.01,0.015150421904831384,0.030150421904831384,-0.012503125781445199,-0.042653547686276584,-0.17061419074510634,8.0,0.0,0.0,0.12120337523865106,9.025314289883082e-05,0.06060168761932553
trade_10,2024-01-08 19:00:00,XRP,0.5146908377321241,0.5144335566335326,-0.0018721935079543148,long,48.5728483338798,25.0,0.005,0.01,0.04680483769885787,0.06180483769885787,-0.012496875781057274,-0.07430171347991514,-0.29720685391966056,8.0,0.0,0.0,0.37443870159086295,0.01908290261931472,0.18721935079543148
trade_11,2024-01-08 20:00:00,XRP,0.5092860784237808,0.5090314990294175,-0.0008177565643044556,long,49.0883239482492,25.0,0.005,0.01,0.02044391410761139,0.035443914107611385,-0.012496875781057324,-0.047940789888668706,-0.19176315955467482,8.0,0.0,0.0,0.1635513128608911,0.003266348464566834,0.08177565643044556
trade_12,2024-01-08 21:00:00,XRP,0.5061588952153394,0.5059058790217801,-0.0010270406648560998,long,49.391604565922016,25.0,0.005,0.01,0.025676016621402495,0.040676016621402494,-0.012496875781057213,-0.053172892402459704,-0.21269156960983882,8.0,0.0,0.0,0.20540813297121996,0.006405609972841497,0.10270406648560998
trade_13,2024-01-09 00:00:00,XRP,0.5081127857872489,0.507858792892579,-0.0027411288348539436,long,49.201674705481054,25.0,0.005,0.01,0.06852822087134859,0.08352822087134859,-0.012496875781056136,-0.09602509665240473,-0.3841003866096189,8.0,0.0,0.0,0.5482257669707887,0.03211693252280915,0.27411288348539437
trade_14,2024-01-09 01:00:00,XRP,0.5104520515680416,0.5107073414162877,0.0029546217551186396,short,48.97619653639021,25.0,0.005,0.01,0.073865543877966,0.088865543877966,-0.012503125781445069,-0.10136866965941106,-0.4054746786376443,8.0,0.0,0.0,0.5909243510237279,0.035319326326779595,0.29546217551186393
trade_15,2024-01-09 02:00:00,XRP,0.5165366261163696,0.5162784223542519,-0.0007198573962225252,long,48.399278455750384,25.0,0.005,0.01,0.01799643490556313,0.03299643490556313,-0.012496875781057605,-0.045493310686620735,-0.18197324274648294,8.0,0.0,0.0,0.14397147924450504,0.0017978609433378784,0.07198573962225252
trade_16,2024-01-09 04:00:00,XRP,0.5149653159398611,0.5152228629845922,0.001293790677623127,short,48.54695884590325,25.0,0.005,0.01,0.032344766940578175,0.047344766940578174,-0.012503125781446283,-0.059847892722024454,-0.23939157088809782,8.0,0.0,0.0,0.2587581355246254,0.010406860164346905,0.1293790677623127
trade_17,2024-01-09 05:00:00,XRP,0.5201610206544947,0.5199010051480439,-0.0009375677260104508,long,48.06204042075981,25.0,0.005,0.01,0.02343919315026127,0.03843919315026127,-0.012496875781058694,-0.05093606893131997,-0.20374427572527987,8.0,0.0,0.0,0.18751354520209015,0.005063515890156762,0.09375677260104508
trade_18,2024-01-09 07:00:00,XRP,0.5144698819159923,0.5147271811817667,0.0011767167663970267,short,48.593709522693196,25.0,0.005,0.01,0.029417919159925667,0.04441791915992567,-0.012503125781445693,-0.05692104494137136,-0.22768417976548544,8.0,0.0,0.0,0.23534335327940534,0.0086507514959554,0.11767167663970267
trade_19,2024-01-09 09:00:00,XRP,0.5113045561444165,0.5110489677634396,-0.0015683815386654653,long,48.89453790225726,25.0,0.005,0.01,0.039209538466636634,0.054209538466636634,-0.01249687578105383,-0.06670641424769047,-0.2668256569907619,8.0,0.0,0.0,0.3136763077330931,0.01452572307998198,0.15683815386654654
trade_20,2024-01-09 10:00:00,XRP,0.5178031658331247,0.5180621321576224,0.0014358780703258003,short,48.28089445875827,25.0,0.005,0.01,0.03589695175814501,0.05089695175814501,-0.012503125781447622,-0.06340007753959263,-0.25360031015837053,8.0,0.0,0.0,0.28717561406516007,0.012538171054887005,0.14358780703258003
trade_21,2024-01-09 13:00:00,XRP,0.5215610500868095,0.5218218958232871,0.001361870158680587,short,47.93302719947925,25.0,0.005,0.01,0.034046753967014676,0.049046753967014675,-0.012503125781446847,-0.061549879748461524,-0.2461995189938461,8.0,0.0,0.0,0.2723740317361174,0.011428052380208805,0.1361870158680587
trade_22,2024-01-09 15:00:00,XRP,0.5183060022739994,0.5180469140449196,-0.001004756344481993,long,48.234054574548225,25.0,0.005,0.01,0.025118908612049823,0.04011890861204982,-0.012496875781054174,-0.05261578439310399,-0.21046313757241597,8.0,0.0,0.0,0.20095126889639858,0.006071345167229894,0.10047563444819929
trade_23,2024-01-09 16:00:00,XRP,0.5141314535315031,0.5143885835407712,0.0009576059662009177,short,48.62569646007495,25.0,0.005,0.01,0.023940149155022943,0.038940149155022946,-0.012503125781445946,-0.05144327493646889,-0.20577309974587557,8.0,0.0,0.0,0.19152119324018355,0.005364089493013766,0.09576059662009177
trade_24,2024-01-09 19:00:00,XRP,0.5204041464957174,0.5206644136357503,0.0021195655366379965,short,48.03958647974711,25.0,0.005,0.01,0.05298913841594991,0.06798913841594992,-0.01250312578144745,-0.08049226419739737,-0.3219690567895895,8.0,0.0,0.0,0.4239131073275993,0.022793483049569945,0.21195655366379965
trade_25,2024-01-09 22:00:00,XRP,0.5263785143352747,0.5266417694062101,0.001686284629834849,short,47.49433975581372,25.0,0.005,0.01,0.04215711574587122,0.05715711574587122,-0.012503125781446087,-0.06966024152731731,-0.27864096610926925,8.0,0.0,0.0,0.33725692596696977,0.01629426944752273,0.16862846298348488
trade_26,2024-01-09 23:00:00,XRP,0.5258744227257487,0.5256115512322591,-0.0014653611604035245,long,47.53986678115712,25.0,0.005,0.01,0.036634029010088116,0.051634029010088116,-0.012496875781058464,-0.06413090479114658,-0.2565236191645863,8.0,0.0,0.0,0.2930722320807049,0.01298041740605287,0.14653611604035244
trade_27,2024-01-10 02:00:00,XRP,0.5225629526752488,0.5223017365029542,-0.0006628526959142448,long,47.841125881605436,25.0,0.005,0.01,0.016571317397856118,0.03157131739785612,-0.012496875781055947,-0.044068193178912064,-0.17627277271564826,8.0,0.0,0.0,0.13257053918284895,0.0009427904387136712,0.06628526959142447
trade_28,2024-01-10 08:00:00,XRP,0.5226656315691227,0.5224043640702128,-0.0007737224446599132,long,47.831727379789925,25.0,0.005,0.01,0.01934306111649783,0.03434306111649783,-0.012496875781056335,-0.04683993689755417,-0.18735974759021667,8.0,0.0,0.0,0.15474448893198264,0.0026058366698986984,0.07737224446599132
trade_29,2024-01-10 09:00:00,XRP,0.523499949449105,0.5237617648776868,0.002244618217598986,short,47.75549649299539,25.0,0.005,0.01,0.05611545543997465,0.07111545543997465,-0.012503125781446618,-0.08361858122142127,-0.33447432488568507,8.0,0.0,0.0,0.4489236435197972,0.024669273263984787,0.2244618217598986
trade_30,2024-01-10 10:00:00,XRP,0.5186133189989224,0.5183540771498851,-0.0013351250917111425,long,48.20547233198218,25.0,0.005,0.01,0.033378127292778566,0.048378127292778565,-0.012496875781057083,-0.06087500307383565,-0.24350001229534263,8.0,0.0,0.0,0.2670250183422285,0.01102687637566714,0.13351250917111426
trade_31,2024-01-10 12:00:00,XRP,0.5204416654501692,0.5207019513543704,0.0009489753827920284,short,48.03612327690101,25.0,0.005,0.01,0.02372438456980071,0.03872438456980071,-0.012503125781445109,-0.051227510351245814,-0.20491004140498326,8.0,0.0,0.0,0.1897950765584057,0.0052346307418804265,0.09489753827920284
trade_32,2024-01-10 15:00:00,XRP,0.5258549892854095,0.526117982528363,0.0008667700193217366,short,47.541623659352915,25.0,0.005,0.01,0.021669250483043415,0.03666925048304341,-0.012503125781444467,-0.04917237626448788,-0.19668950505795152,8.0,0.0,0.0,0.17335400386434732,0.004001550289826049,0.08667700193217366
